name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	3	0	0.0
Azorhizobium caulinodans	7	species	5369772	481	301	0.0
Buchnera aphidicola	9	species	619958	61	34	0.0
Cellulomonas gilvus	11	species	3526441	1232	712	2.00609e-07
Dictyoglomus thermophilum	14	species	1959987	7	1	0.0
Pelobacter	18	genus	0	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	46	37	0.0
Phenylobacterium	20	genus	0	16	0	0.0
Shewanella	22	genus	0	14	1	0.0
Shewanella putrefaciens	24	species	4749735	42	23	1.58268e-23
Myxococcales	29	order	0	103	0	0.0
Myxococcaceae	31	family	0	7	0	0.0
Myxococcus	32	genus	0	16	0	0.0
Myxococcus fulvus	33	species	10026214	887	479	0.0
Myxococcus xanthus	34	species	9139763	344	168	0.0
Cystobacteraceae	39	family	0	8	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	456	320	0.0
Archangium	47	genus	0	7	0	0.0
Archangium gephyra	48	species	12489432	541	377	0.0
Polyangiaceae	49	family	0	7	0	0.0
Chondromyces	50	genus	0	22	0	0.0
Chondromyces crocatus	52	species	11388132	417	312	0.0
Sorangium cellulosum	56	species	13907952	1276	981	0.0
Lysobacter	68	genus	0	38	0	0.0
Caulobacter	75	genus	0	33	0	0.0
Hyphomicrobium	81	genus	0	5	0	0.0
Hyphomonas	85	genus	0	2	0	0.0
Leptothrix	88	genus	0	50	0	0.0
Gallionella	96	genus	0	7	0	0.0
Cyclobacterium marinum	104	species	6221273	45	32	0.0
Runella slithyformis	106	species	6919729	88	72	0.0
Planctomycetales	112	order	0	21	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	68	58	0.0
Planctopirus limnophila	120	species	5460085	17	15	0.0
Pirellula	123	genus	0	1	0	0.0
Pirellula staleyi	125	species	6196199	56	47	0.0
Planctomycetaceae	126	family	0	5	0	0.0
Isosphaera pallida	128	species	5529304	76	50	0.0
Methylocystis	133	genus	0	4	0	0.0
Spirochaetales	136	order	0	1	0	0.0
Spirochaetaceae	137	family	0	2	0	0.0
Borrelia	138	genus	0	4	0	0.0
Borreliella burgdorferi	139	species	1329613	10	3	0.0
Borrelia hermsii	140	species	1156143	2	1	0.0
Borrelia parkeri	141	species	1030684	3	2	0.0
Borrelia turicatae	142	species	917330	1	1	0.0
Spirochaeta	146	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	51	40	0.0
Treponema denticola	158	species	2843201	9	6	0.0
Brachyspira hyodysenteriae	159	species	3055339	13	8	0.0
Treponema pallidum	160	species	1138607	2	0	0.0
Treponema succinifaciens	167	species	2897425	12	8	1.96641e-18
Leptospira biflexa	172	species	3953768	27	25	0.0
Leptospira interrogans	173	species	5395453	18	15	0.0
Leptospira borgpetersenii	174	species	3948532	4	4	0.0
Leptospirillum ferrooxidans	180	species	2559538	9	2	0.0
Azospirillum	191	genus	0	53	0	0.0
Azospirillum brasilense	192	species	13978806	1252	787	0.0
Azospirillum lipoferum	193	species	7223069	1160	589	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	27	16	1.50112e-07
Campylobacter fetus	196	species	1876301	11	11	0.0
Campylobacter jejuni	197	species	6156435	30	13	0
Campylobacter hyointestinalis	198	species	1753331	9	5	0.0
Campylobacter concisus	199	species	1969727	22	20	0.0
Campylobacter curvus	200	species	1971270	16	14	0.0
Campylobacter lari	201	species	1576113	20	13	0.0
Helicobacter pylori	210	species	2044699	47	43	0.0
Helicobacter acinonychis	212	species	1557588	6	6	0.0
Helicobacter cinaedi	213	species	2170766	3	3	0.0
Helicobacter mustelae	217	species	1578097	4	2	0.0
Achromobacter	222	genus	0	75	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	18	3	0.0
Brucella	234	genus	0	103	48	0.0
Brucella abortus	235	species	5108028	18	0	0.0
Brucella ovis	236	species	3275590	15	0	0.0
Flavobacterium	237	genus	0	3	0	0.0
Francisella	262	genus	0	2	0	0.0
Francisella tularensis	263	species	2777166	36	24	0.0
Paracoccus	265	genus	0	12	0	0.0
Paracoccus denitrificans	266	species	5236194	1683	1319	7.91305e-07
Thermus	270	genus	0	15	1	0.0
Thermus aquaticus	271	species	2338641	60	35	1.63821e-07
Thermus thermophilus	274	species	2214494	207	112	2.65086e-07
Meiothermus ruber	277	species	3097457	416	373	7.1739e-06
Xanthobacter	279	genus	0	5	0	0.0
Xanthobacter autotrophicus	280	species	5625098	624	400	1.56386e-07
Comamonas	283	genus	0	3	0	0.0
Comamonas testosteroni	285	species	5695231	1315	608	2.83864e-06
Pseudomonas	286	genus	0	901	223	0.0
Pseudomonas aeruginosa	287	species	22457305	3891	2529	9.12811e-06
Pseudoalteromonas atlantica	288	species	5187005	13	9	0.0
