name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	7	5	0.0
Buchnera aphidicola	9	species	619958	1	0	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	1	1	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Myxococcus fulvus	33	species	10026214	8	5	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	2	2	0.0
Archangium gephyra	48	species	12489432	4	1	0.0
Chondromyces crocatus	52	species	11388132	5	3	0.0
Sorangium cellulosum	56	species	13907952	5	4	0.0
Caulobacter	75	genus	0	2	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	2	2	0.0
Runella slithyformis	106	species	6919729	2	1	0.0
Planctopirus limnophila	120	species	5460085	1	1	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema denticola	158	species	2843201	1	1	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	6	1	0.0
Azospirillum lipoferum	193	species	7223069	10	4	0.0
Helicobacter felis	214	species	1672681	1	1	0.0
Achromobacter	222	genus	0	5	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	2	1	0.0
Brucella	234	genus	0	2	2	0.0
Paracoccus denitrificans	266	species	5236194	9	9	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Thermus thermophilus	274	species	2214494	2	1	0.0
Meiothermus ruber	277	species	3097457	7	7	0.000103874
Xanthobacter autotrophicus	280	species	5625098	3	2	5.71984e-05
Comamonas testosteroni	285	species	5695231	22	14	0.000159617
Pseudomonas	286	genus	0	15	3	0.0
Pseudomonas aeruginosa	287	species	22457305	36	12	0.000102713
Pseudoalteromonas atlantica	288	species	5187005	1	1	0.0
Burkholderia cepacia	292	species	13365495	62	19	2.60564e-15
Pseudomonas fluorescens	294	species	14826544	66	51	4.95791e-05
Pseudomonas mendocina	300	species	5293211	11	4	0.0
Pseudomonas putida	303	species	6888188	50	28	6.81673e-05
Ralstonia solanacearum	305	species	11186335	29	15	4.35744e-19
Pseudomonas stutzeri	316	species	7755802	35	26	0.000234844
Pseudomonas syringae	317	species	6129101	14	11	0.0
Ralstonia pickettii	329	species	6378979	37	21	0.000374933
Pseudomonas pseudoalcaligenes	330	species	4691662	9	8	0.000137157
Burkholderia glumae	337	species	7333967	23	6	0.0
Xanthomonas	338	genus	0	4	1	0.0
Xanthomonas campestris	339	species	7063896	132	125	0.00159418
Xanthomonas translucens	343	species	4638247	12	6	0.0
Xanthomonas citri	346	species	17318955	9	0	0.0
Xanthomonas oryzae	347	species	17545599	12	7	0.0
Azotobacter chroococcum	353	species	5192286	3	0	0.0
Azotobacter vinelandii	354	species	5351632	3	2	0.0
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	4	1	0.0
Agrobacterium vitis	373	species	6320946	2	0	0.0
Bradyrhizobium japonicum	375	species	9215796	9	4	0.0
Bradyrhizobium sp.	376	species	7547693	10	6	0.0
Rhizobium	379	genus	0	2	1	0.0
Sinorhizobium fredii	380	species	6891900	2	1	0.0
Mesorhizobium loti	381	species	7539018	6	2	0.0
Sinorhizobium meliloti	382	species	6962835	2	1	0.0
Rhizobium leguminosarum	384	species	7369497	5	2	0.0
Rhizobium phaseoli	396	species	87841097	2	1	0.0
Rhizobium tropici	398	species	6686334	1	1	0.0
Neorhizobium galegae	399	species	6434105	3	3	0.0
Methylobacillus flagellatus	405	species	2971517	5	3	0.0
Methylobacterium	407	genus	0	1	0	0.0
Methylobacterium extorquens	408	species	6163878	6	4	0.0
Methylococcus capsulatus	414	species	3304561	3	3	0.0
Methylomonas methanica	421	species	5051681	1	1	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella pneumophila	446	species	15688009	1	1	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Tatlockia micdadei	451	species	3310028	1	1	0.0
Acinetobacter baumannii	470	species	11595472	16	10	5.55445e-05
Neisseria gonorrhoeae	485	species	4967431	2	0	0.0
Neisseria lactamica	486	species	2220606	5	1	0.0
Neisseria meningitidis	487	species	8508873	6	3	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Alcaligenaceae	506	family	0	1	0	0.0
Alcaligenes faecalis	511	species	4248684	4	4	0.0
