name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	9	0	0.0
Azorhizobium caulinodans	7	species	5369772	281	148	0.0
Buchnera aphidicola	9	species	619958	77	57	0.0
Cellulomonas gilvus	11	species	3526441	160	90	0
Dictyoglomus thermophilum	14	species	1959987	13	5	0.0
Methylophilus	16	genus	0	2	0	0.0
Pelobacter carbinolicus	19	species	3665893	28	13	0.0
Phenylobacterium	20	genus	0	7	0	0.0
Shewanella	22	genus	0	5	2	0.0
Shewanella putrefaciens	24	species	4749735	47	24	3.11943e-06
Myxococcales	29	order	0	70	0	0.0
Myxococcaceae	31	family	0	12	0	0.0
Myxococcus	32	genus	0	29	0	0.0
Myxococcus fulvus	33	species	10026214	717	371	0.0
Myxococcus xanthus	34	species	9139763	281	113	0.0
Cystobacteraceae	39	family	0	9	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	302	188	0.0
Archangium	47	genus	0	5	0	0.0
Archangium gephyra	48	species	12489432	431	294	0.0
Polyangiaceae	49	family	0	12	0	0.0
Chondromyces	50	genus	0	1	0	0.0
Chondromyces crocatus	52	species	11388132	289	208	0.0
Sorangium cellulosum	56	species	13907952	810	577	0.0
Lysobacter	68	genus	0	28	0	0.0
Caulobacter	75	genus	0	23	0	0.0
Hyphomicrobium	81	genus	0	7	0	0.0
Hyphomonas	85	genus	0	1	0	0.0
Leptothrix	88	genus	0	60	0	0.0
Gallionella	96	genus	0	2	0	0.0
Cyclobacterium marinum	104	species	6221273	47	28	0.0
Runella slithyformis	106	species	6919729	86	71	0.0
Spirosoma	107	genus	0	1	0	0.0
Planctomycetales	112	order	0	3	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	53	45	0.0
Planctopirus limnophila	120	species	5460085	53	45	0.0
Pirellula staleyi	125	species	6196199	119	102	0.0
Isosphaera pallida	128	species	5529304	72	46	0.0
Methylocystis	133	genus	0	1	0	0.0
Spirochaetales	136	order	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	27	20	0.0
Borrelia hermsii	140	species	1156143	3	3	0.0
Borrelia parkeri	141	species	1030684	8	7	0.0
Borrelia turicatae	142	species	917330	3	2	0.0
Spirochaeta thermophila	154	species	2516433	44	30	0.0
Treponema	157	genus	0	4	0	0.0
Treponema denticola	158	species	2843201	22	19	0.0
Brachyspira hyodysenteriae	159	species	3055339	25	20	0.0
