name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	4	0	0.0
Azorhizobium caulinodans	7	species	5369772	1102	640	2.15934e-20
Buchnera aphidicola	9	species	619958	117	93	0.0
Cellvibrio	10	genus	0	7	0	0.0
Cellulomonas gilvus	11	species	3526441	2485	1529	2.19274e-17
Dictyoglomus	13	genus	0	3	0	0.0
Dictyoglomus thermophilum	14	species	1959987	6	6	0.0
Pelobacter	18	genus	0	6	0	0.0
Pelobacter carbinolicus	19	species	3665893	82	65	0.0
Phenylobacterium	20	genus	0	18	0	0.0
Shewanella	22	genus	0	12	3	0.0
Shewanella putrefaciens	24	species	4749735	65	28	4.50824e-16
Myxococcales	29	order	0	166	0	0.0
Myxococcaceae	31	family	0	19	0	0.0
Myxococcus	32	genus	0	63	0	0.0
Myxococcus fulvus	33	species	10026214	1813	997	0.0
Myxococcus xanthus	34	species	9139763	753	333	0.0
Cystobacteraceae	39	family	0	9	0	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	725	505	0
Archangium	47	genus	0	5	0	0.0
Archangium gephyra	48	species	12489432	1113	781	6.14322e-20
Polyangiaceae	49	family	0	13	0	0.0
Chondromyces	50	genus	0	21	0	0.0
Chondromyces crocatus	52	species	11388132	814	579	0.0
Sorangium cellulosum	56	species	13907952	2427	1869	2.17303e-55
Lysobacter	68	genus	0	56	0	0.0
Caulobacter	75	genus	0	62	0	0.0
Hyphomicrobium	81	genus	0	25	0	0.0
Hyphomonas	85	genus	0	7	0	0.0
Leptothrix	88	genus	0	94	0	0.0
Gallionella	96	genus	0	6	0	0.0
Cyclobacterium marinum	104	species	6221273	121	90	0.0
Runella	105	genus	0	3	0	0.0
Runella slithyformis	106	species	6919729	243	196	0.0
Planctomycetales	112	order	0	32	0	0.0
Planctomyces	118	genus	0	11	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	106	84	0.0
Planctopirus limnophila	120	species	5460085	68	59	0.0
Pirellula	123	genus	0	2	0	0.0
Pirellula staleyi	125	species	6196199	103	83	0.0
Planctomycetaceae	126	family	0	12	0	0.0
Isosphaera pallida	128	species	5529304	185	132	0.0
Methylocystis	133	genus	0	5	0	0.0
Spirochaetales	136	order	0	10	0	0.0
Borrelia	138	genus	0	4	0	0.0
Borreliella burgdorferi	139	species	1329613	3	1	0.0
Borrelia hermsii	140	species	1156143	10	0	0.0
Borrelia parkeri	141	species	1030684	3	2	0.0
Borrelia turicatae	142	species	917330	4	3	0.0
Spirochaeta	146	genus	0	1	0	0.0
Spirochaeta thermophila	154	species	2516433	130	92	0.0
Treponema	157	genus	0	3	0	0.0
Treponema denticola	158	species	2843201	18	14	0.0
Brachyspira hyodysenteriae	159	species	3055339	39	27	0.0
Treponema pallidum	160	species	1138607	9	0	0.0
Treponema succinifaciens	167	species	2897425	38	36	4.01017e-17
Leptospira biflexa	172	species	3953768	85	71	0.0
Leptospira interrogans	173	species	5395453	33	31	0.0
Leptospira borgpetersenii	174	species	3948532	20	14	0.0
Leptospirillum ferrooxidans	180	species	2559538	21	10	0.0
Azospirillum	191	genus	0	110	0	0.0
Azospirillum brasilense	192	species	13978806	2447	1496	5.27789e-20
Azospirillum lipoferum	193	species	7223069	2386	1202	0.0
Campylobacter	194	genus	0	7	0	0.0
Campylobacter coli	195	species	5104439	61	43	0.0
Campylobacter fetus	196	species	1876301	33	30	0.0
Campylobacter jejuni	197	species	6156435	68	38	0.0
Campylobacter hyointestinalis	198	species	1753331	7	7	0.0
Campylobacter concisus	199	species	1969727	65	64	0.0
