name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	73	47	0.0
Buchnera aphidicola	9	species	619958	8	8	0.0
Cellulomonas gilvus	11	species	3526441	48	27	0.0
Dictyoglomus thermophilum	14	species	1959987	1	1	0.0
Pelobacter carbinolicus	19	species	3665893	21	11	0.0
Shewanella	22	genus	0	4	0	0.0
Shewanella putrefaciens	24	species	4749735	5	5	3.42663e-05
Myxococcales	29	order	0	7	0	0.0
Myxococcaceae	31	family	0	3	0	0.0
Myxococcus	32	genus	0	9	0	0.0
Myxococcus fulvus	33	species	10026214	104	74	0.0
Myxococcus xanthus	34	species	9139763	47	27	0.0
Stigmatella aurantiaca	41	species	10260756	37	29	0.0
Archangium gephyra	48	species	12489432	67	49	0.0
Chondromyces crocatus	52	species	11388132	36	25	0.0
Sorangium cellulosum	56	species	13907952	143	114	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	2	0	0.0
Cyclobacterium marinum	104	species	6221273	8	8	0.0
Runella slithyformis	106	species	6919729	10	7	0.0
Planctomycetales	112	order	0	2	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	5	5	0.0
Planctopirus limnophila	120	species	5460085	11	10	0.0
Pirellula staleyi	125	species	6196199	17	16	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera pallida	128	species	5529304	19	18	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	2	2	0.0
Borrelia hermsii	140	species	1156143	2	0	0.0
Borrelia parkeri	141	species	1030684	2	1	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	4	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	2	0.0
Treponema succinifaciens	167	species	2897425	8	8	0.0
Leptospira biflexa	172	species	3953768	3	3	0.0
Leptospira interrogans	173	species	5395453	6	5	0.0
Leptospira borgpetersenii	174	species	3948532	3	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	4	0	0.0
Azospirillum	191	genus	0	3	0	0.0
Azospirillum brasilense	192	species	13978806	148	93	0.0
Azospirillum lipoferum	193	species	7223069	187	90	0
Campylobacter coli	195	species	5104439	8	7	0.0
Campylobacter fetus	196	species	1876301	3	3	0.0
Campylobacter jejuni	197	species	6156435	9	8	0.0
Campylobacter hyointestinalis	198	species	1753331	2	2	0.0
Campylobacter concisus	199	species	1969727	5	5	0.0
Campylobacter curvus	200	species	1971270	3	3	0.0
Campylobacter lari	201	species	1576113	2	2	0.0
Helicobacter pylori	210	species	2044699	11	11	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Helicobacter felis	214	species	1672681	3	1	0.0
Helicobacter mustelae	217	species	1578097	1	1	0.0
Achromobacter	222	genus	0	35	0	0.0
Alteromonas	226	genus	0	2	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	4	2	0.0
Brucella	234	genus	0	23	16	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Flavobacterium	237	genus	0	5	0	0.0
Francisella tularensis	263	species	2777166	11	10	0.0
Paracoccus denitrificans	266	species	5236194	279	224	4.08766e-72
Thermus	270	genus	0	2	0	0.0
Thermus aquaticus	271	species	2338641	7	4	0.0
Thermus thermophilus	274	species	2214494	24	17	7.34957e-05
Meiothermus ruber	277	species	3097457	23	14	0.000157635
Xanthobacter autotrophicus	280	species	5625098	47	32	0.0
Comamonas	283	genus	0	3	0	0.0
Comamonas testosteroni	285	species	5695231	1116	912	0.00882668
Pseudomonas	286	genus	0	3155	2708	0.0
Pseudomonas aeruginosa	287	species	22457305	4275	2344	0.000244425
Pseudoalteromonas atlantica	288	species	5187005	4	3	0.0
Burkholderia cepacia	292	species	13365495	696	230	2.36249e-06
Pseudomonas fluorescens	294	species	14826544	740531	693852	0.268896
Pseudomonas fragi	296	species	5101809	1519	864	0.000133481
Pseudomonas mendocina	300	species	5293211	1309	745	6.53198e-76
Pseudomonas putida	303	species	6888188	12684	7910	0.00212958
Ralstonia solanacearum	305	species	11186335	314	193	0
Pseudomonas stutzeri	316	species	7755802	2222	1397	0.00054299
Pseudomonas syringae	317	species	6129101	5159	3382	0.000649506
Ralstonia pickettii	329	species	6378979	514	341	0.00115591
Pseudomonas pseudoalcaligenes	330	species	4691662	571	262	0.000616692
Burkholderia glumae	337	species	7333967	220	51	4.44862e-05
Xanthomonas	338	genus	0	66	8	0.0
Xanthomonas campestris	339	species	7063896	933	742	0.00571339
Xanthomonas translucens	343	species	4638247	189	130	0.0
Xanthomonas citri	346	species	17318955	189	34	0
Xanthomonas oryzae	347	species	17545599	161	90	0.0
Azotobacter chroococcum	353	species	5192286	426	256	0
Azotobacter vinelandii	354	species	5351632	382	217	0
Rhizobiales	356	order	0	55	0	0.0
Agrobacterium tumefaciens	358	species	9211775	178	64	7.11764e-05
Agrobacterium vitis	373	species	6320946	57	41	0.0
Bradyrhizobium	374	genus	0	20	0	0.0
Bradyrhizobium japonicum	375	species	9215796	145	87	0.0
Bradyrhizobium sp.	376	species	7547693	96	48	0.0
Rhizobium	379	genus	0	42	23	0.0
Sinorhizobium fredii	380	species	6891900	44	24	0.0
Mesorhizobium loti	381	species	7539018	130	66	0.0
Sinorhizobium meliloti	382	species	6962835	45	25	0.0
