name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Myxococcus xanthus	34	species	9139763	1	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	2	0.0
Isosphaera pallida	128	species	5529304	5	0	0.0
Azospirillum lipoferum	193	species	7223069	1	1	0.0
Campylobacter jejuni	197	species	5821593	1	1	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Francisella tularensis	263	species	2565349	1	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Pseudomonas fluorescens	294	species	10224970	1	1	0.0
Pseudomonas putida	303	species	6183488	1	0	0.0
Pseudomonas syringae	317	species	6061076	1	0	0.0
Gluconobacter oxydans	442	species	3207017	1	1	0.0
Legionella pneumophila	446	species	3687376	1	1	0.0
Acinetobacter baumannii	470	species	8023938	2	0	0.0
Neisseria meningitidis	487	species	2829388	1	1	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Enterobacteriaceae	543	family	0	123	119	0.0
Citrobacter	544	genus	0	23	0	0.0
Citrobacter koseri	545	species	4735357	2342	1	1.30474e-15
Citrobacter freundii	546	species	10665849	132	13	2.07602e-35
Enterobacter	547	genus	0	14	0	0.0
Enterobacter aerogenes	548	species	5336807	2195	2	3.82835e-06
Enterobacter cloacae	550	species	11821907	104	3	3.76179e-30
Erwinia	551	genus	0	1	0	0.0
Pantoea ananatis	553	species	4838982	49	1	9.13388e-33
Pectobacterium carotovorum	554	species	4852842	2	0	1.54996e-36
Escherichia	561	genus	0	157	0	0.0
Escherichia coli	562	species	8927329	188423	151547	0.0595401
Shimwellia blattae	563	species	4158725	8	1	2.07996e-35
Escherichia fergusonii	564	species	4643861	5280	89	1.30909e-05
Hafnia alvei	569	species	4712721	4	1	3.51637e-36
Klebsiella	570	genus	0	27	0	0.0
Klebsiella oxytoca	571	species	10395483	886	92	2.34285e-05
Klebsiella pneumoniae	573	species	10764443	2681	57	5.37218e-06
Morganella morganii	582	species	3799539	6	1	1.61941e-06
Proteus	583	genus	0	1	0	0.0
Proteus mirabilis	584	species	3913216	101	0	6.91485e-31
Proteus vulgaris	585	species	3794983	101	0	9.93448e-31
Salmonella	590	genus	0	18	0	0.0
