name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	621119	1	1	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Isosphaera pallida	128	species	5529304	1	0	0.0
Treponema	157	genus	0	1	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Campylobacter	194	genus	0	1	1	0.0
Campylobacter jejuni	197	species	5821593	1	1	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Pseudomonas fluorescens	294	species	10224970	2	0	0.0
Xanthomonas citri	346	species	19351467	1	0	0.0
Neisseria meningitidis	487	species	2829388	6	1	7.14942e-42
Psychrobacter	497	genus	0	1	0	0.0
Beijerinckia indica	533	species	4418616	1	0	0.0
Enterobacter cloacae	550	species	11821907	2	1	0.0
Escherichia coli	562	species	8927329	33	30	1.35182e-05
Klebsiella oxytoca	571	species	10395483	1	0	0.0
Klebsiella pneumoniae	573	species	10764443	47	35	0.0
Shigella boydii	621	species	4698475	3	0	1.35898e-15
Shigella flexneri	623	species	4682194	2	0	0.0
Shigella sonnei	624	species	5136166	3	0	1.19003e-15
Yersinia enterocolitica	630	species	8483315	3	2	0.0
Vibrio vulnificus	672	species	6395650	1	1	0.0
Vibrio campbellii	680	species	12090206	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	2759904	1	1	0.0
Haemophilus influenzae	727	species	2520273	10	9	0.0
Haemophilus parainfluenzae	729	species	2086875	1	0	0.0
Pasteurella multocida	747	species	2290380	1	0	0.0
Gallibacterium anatis	750	species	2694139	15	15	0.0
Ehrlichia ruminantium	779	species	2264626	1	1	0.0
Rickettsia canadensis	788	species	1155000	3	3	0.0
Bacteroides thetaiotaomicron	818	species	6293399	1	1	0.0
Parabacteroides distasonis	823	species	4811379	1	0	0.0
Fusobacterium nucleatum	851	species	2948417	4	1	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	2	2	0.0
Bdellovibrio bacteriovorus	959	species	3608671	3	3	0.0
Herbaspirillum seropedicae	964	species	5511805	1	1	0.0
Flavobacterium columnare	996	species	3242016	3	3	0.0
Blastochloris viridis	1079	species	11309428	1	1	0.0
Chlorobium phaeobacteroides	1096	species	2935152	1	0	0.0
Prochlorococcus marinus	1219	species	1799150	6	5	0.0
Oenococcus oeni	1247	species	1780517	5	0	0.0
Pediococcus pentosaceus	1255	species	1810762	1	0	0.0
Finegoldia magna	1260	species	1986740	2	0	0.0
Staphylococcus	1279	genus	0	499	485	0.0
Staphylococcus aureus	1280	species	5961705	20685	14197	0.00464093
Staphylococcus carnosus	1281	species	2566424	97	5	6.91229e-30
Staphylococcus epidermidis	1282	species	2586069	5028	2481	0.00108623
