name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	2	1	0.0
Buchnera aphidicola	9	species	621119	8	8	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Isosphaera	127	genus	0	1	0	0.0
Treponema denticola	158	species	2843201	1	0	0.0
Azospirillum brasilense	192	species	13978806	2	1	0.0
Achromobacter	222	genus	0	194	0	0.0
Francisella tularensis	263	species	2565349	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	1	0	0.0
Pseudomonas aeruginosa	287	species	15547463	1	1	8.42367e-07
Pseudoalteromonas atlantica	288	species	5187005	2	0	0.0
Pseudomonas putida	303	species	6183488	3	1	0.0
Pseudomonas stutzeri	316	species	5929124	11	9	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Bradyrhizobium	374	genus	0	1	0	0.0
Sinorhizobium fredii	380	species	6891900	3	2	0.0
Methylomonas methanica	421	species	5051681	2	2	0.0
Legionella pneumophila	446	species	3687376	4	2	3.55183e-06
Legionella longbeachae	450	species	4149158	2	0	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	195	0	0.0
Acinetobacter baumannii	470	species	8023938	78	1	0.0
Moraxella catarrhalis	480	species	2846413	2	0	0.0
Neisseria meningitidis	487	species	2829388	1	1	0.0
Kingella kingae	504	species	2140065	1	0	0.0
Alcaligenes faecalis	511	species	4248684	1	0	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Enterobacteriaceae	543	family	0	1148	931	0.0
Citrobacter	544	genus	0	196	0	0.0
Citrobacter koseri	545	species	4735357	15716	19	0.000127499
Citrobacter freundii	546	species	10665849	1169	122	3.68952e-06
Enterobacter	547	genus	0	176	0	0.0
Enterobacter aerogenes	548	species	5336807	14871	9	4.93886e-11
Enterobacter cloacae	550	species	11821907	893	21	2.22413e-06
Erwinia	551	genus	0	3	0	0.0
Erwinia amylovora	552	species	3837974	7	0	0.0
Pantoea ananatis	553	species	4838982	286	7	8.13723e-06
Pectobacterium carotovorum	554	species	4852842	14	6	1.44876e-52
Escherichia	561	genus	0	1000	0	0.0
Escherichia coli	562	species	8927329	1296526	978378	0.903361
Shimwellia blattae	563	species	4158725	87	5	3.15538e-06
Escherichia fergusonii	564	species	4643861	39298	691	0.000291654
Hafnia alvei	569	species	4712721	24	0	1.50531e-79
Klebsiella	570	genus	0	193	0	0.0
Klebsiella oxytoca	571	species	10395483	5444	712	0.000133539
Klebsiella pneumoniae	573	species	10764443	17654	127	5.093e-05
Morganella morganii	582	species	3799539	73	9	2.19651e-75
Proteus mirabilis	584	species	3913216	656	0	7.29081e-67
Proteus vulgaris	585	species	3794983	655	0	2.44634e-66
Providencia stuartii	588	species	4368463	17	6	0.0
Salmonella	590	genus	0	129	0	0.0
Serratia	613	genus	0	16	0	0.0
Serratia liquefaciens	614	species	5304688	4	0	0.0
Serratia marcescens	615	species	8465231	107	3	1.39879e-87
Shigella	620	genus	0	15391	0	0.0
Shigella boydii	621	species	4698475	140796	1142	0.000303031
Shigella dysenteriae	622	species	4560911	106382	1458	0.00048588
Shigella flexneri	623	species	4682194	216918	42377	0.0898802
Shigella sonnei	624	species	5136166	149763	716	0.000330301
Xenorhabdus	626	genus	0	1	0	0.0
Xenorhabdus nematophila	628	species	4586662	1	0	0.0
Yersinia	629	genus	0	1169	1	0.0
Yersinia enterocolitica	630	species	8483315	350	23	7.43934e-06
Yersinia intermedia	631	species	4859749	1	1	0.0
Yersinia pestis	632	species	6906928	3202	70	9.53628e-05
Yersinia pseudotuberculosis	633	species	9565781	3053	5	0
Edwardsiella	635	genus	0	7	0	0.0
Edwardsiella tarda	636	species	3870830	38	5	4.18909e-25
Vibrionaceae	641	family	0	1	0	0.0
Aeromonas	642	genus	0	4	0	0.0
Aeromonas hydrophila	644	species	6856970	5	1	0.0
Aeromonas salmonicida	645	species	5040536	2	0	0.0
Aeromonas media	651	species	4788430	8	2	0.0
Aeromonas schubertii	652	species	4400034	2	1	0.0
Aeromonas veronii	654	species	4551783	1	0	0.0
Vibrio	662	genus	0	24	0	0.0
Vibrio cholerae	666	species	5494804	10	9	0.0
Vibrio parahaemolyticus	670	species	6861322	2	1	0.0
Vibrio campbellii	680	species	12090206	2	0	0.0
Pasteurellaceae	712	family	0	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2759904	16	12	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	1	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2520273	5	3	0.0
[Haemophilus] ducreyi	730	species	1698955	5	2	0.0
Aggregatibacter aphrophilus	732	species	3520359	1	1	0.0
[Haemophilus] parasuis	738	species	3407980	4	0	0.0
Pasteurella	745	genus	0	3	0	0.0
Porphyromonas gingivalis	837	species	2343668	1	0	0.0
Nitrosomonas	914	genus	0	184	0	0.0
Nitrosomonas eutropha	916	species	2781824	53	0	0.0
Halothiobacillus neapolitanus	927	species	2582886	1	1	0.0
Selenomonas	970	genus	0	1	0	0.0
Saprospira grandis	1008	species	4400185	1	1	0.0
Halorhodospira halophila	1053	species	2678452	2	2	0.0
Blastochloris viridis	1079	species	11309428	1	1	0.0
Pararhodospirillum photometricum	1084	species	3876289	1	0	0.0
Rhodospirillum rubrum	1085	species	4379691	1	0	0.0
Trichodesmium erythraeum	1206	species	7750108	1	1	0.0
Nitrosococcus oceani	1229	species	3522111	1	0	0.0
Gammaproteobacteria	1236	class	0	16	0	0.0
Piscirickettsia salmonis	1238	species	5102706	1	1	0.0
Leuconostoc mesenteroides	1245	species	1961041	1	1	0.0
Ruminococcus albus	1264	species	4482087	1	0	0.0
