name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	8	2	0.0
Buchnera aphidicola	9	species	621119	12	9	0.0
Shewanella	22	genus	0	3	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcaceae	31	family	0	1	0	0.0
Cystobacteraceae	39	family	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	1	0	0.0
Sorangium cellulosum	56	species	13907952	4	0	0.0
Pirellula staleyi	125	species	6196199	2	2	0.0
Treponema	157	genus	0	3	0	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	2	2	0.0
Campylobacter jejuni	197	species	5821593	1	1	0.0
Helicobacter pylori	210	species	1900692	1	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Brucella	234	genus	0	1	0	0.0
Francisella	262	genus	0	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	6	0	0.0
Pseudomonas	286	genus	0	8	0	0.0
Pseudomonas aeruginosa	287	species	15547463	1	1	0.0
Pseudoalteromonas atlantica	288	species	5187005	4	0	0.0
Burkholderia cepacia	292	species	9531318	1	0	0.0
Pseudomonas fluorescens	294	species	10224970	11	4	0.0
Pseudomonas fragi	296	species	5101809	2	0	0.0
Pseudomonas putida	303	species	6183488	2	2	0.0
Pseudomonas stutzeri	316	species	5929124	11	10	0.0
Pseudomonas syringae	317	species	6061076	1	0	0.0
Ralstonia pickettii	329	species	6378979	1	1	0.0
Azotobacter chroococcum	353	species	5192286	1	1	0.0
Sinorhizobium fredii	380	species	6891900	9	7	0.0
Legionella	445	genus	0	1	0	0.0
Legionella pneumophila	446	species	3687376	1	1	0.0
Acinetobacter	469	genus	0	2	0	0.0
Acinetobacter baumannii	470	species	8023938	2	0	0.0
Moraxella catarrhalis	480	species	2846413	7	1	0.0
Neisseria meningitidis	487	species	2829388	2	1	0.0
Neisseria elongata	495	species	2256647	1	0	0.0
Psychrobacter	497	genus	0	2	0	0.0
Thermomicrobium roseum	500	species	2920744	1	1	0.0
Ochrobactrum anthropi	529	species	5053471	1	0	0.0
Chromobacterium violaceum	536	species	4751080	2	0	0.0
Enterobacteriaceae	543	family	0	2063	1930	0.0
Citrobacter	544	genus	0	460	0	0.0
Citrobacter koseri	545	species	4735357	41430	66	0.000105008
Citrobacter freundii	546	species	10665849	2538	222	7.76858e-06
Enterobacter	547	genus	0	386	0	0.0
Enterobacter aerogenes	548	species	5336807	39196	40	5.41386e-05
Enterobacter cloacae	550	species	11821907	1732	45	5.40194e-07
Erwinia	551	genus	0	6	0	0.0
Erwinia amylovora	552	species	3837974	29	3	1.71579e-20
Pantoea ananatis	553	species	4838982	682	17	2.63627e-06
Pectobacterium carotovorum	554	species	4852842	34	16	2.62584e-06
