name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	1	0.0
Buchnera aphidicola	9	species	621119	4	3	0.0
Shewanella	22	genus	0	4	0	0.0
Shewanella putrefaciens	24	species	4749735	2	0	0.0
Archangium gephyra	48	species	12489432	1	1	0.0
Sorangium cellulosum	56	species	13907952	1	1	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Planctopirus limnophila	120	species	5460085	2	0	0.0
Pirellula staleyi	125	species	6196199	4	2	0.0
Azospirillum brasilense	192	species	13978806	3	2	0.0
Paracoccus denitrificans	266	species	5236194	1	1	0.0
Pseudomonas	286	genus	0	2	1	0.0
Pseudomonas aeruginosa	287	species	15547463	1	1	6.91464e-07
Pseudomonas fluorescens	294	species	10224970	6	3	0.0
Pseudomonas putida	303	species	6183488	2	0	0.0
Ralstonia solanacearum	305	species	5564621	1	1	1.93194e-06
Pseudomonas stutzeri	316	species	5929124	2	2	0.0
Pseudomonas syringae	317	species	6061076	2	0	0.0
Ralstonia pickettii	329	species	6378979	1	0	0.0
Rhizobium leguminosarum	384	species	7129833	1	0	0.0
Methylococcus capsulatus	414	species	3304561	1	0	0.0
Legionella pneumophila	446	species	3687376	1	0	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Tatlockia micdadei	451	species	3310028	2	1	0.0
Acinetobacter	469	genus	0	1	0	0.0
Moraxella catarrhalis	480	species	2846413	6	1	0.0
Neisseria elongata	495	species	2256647	2	0	0.0
Alcaligenes faecalis	511	species	4248684	1	0	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Enterobacteriaceae	543	family	0	954	890	0.0
Citrobacter	544	genus	0	216	0	0.0
Citrobacter koseri	545	species	4735357	18292	24	6.388e-05
Citrobacter freundii	546	species	10665849	1230	97	6.20651e-06
Enterobacter	547	genus	0	167	0	0.0
Enterobacter aerogenes	548	species	5336807	17262	8	7.07284e-05
Enterobacter cloacae	550	species	11821907	759	18	3.59081e-42
Erwinia	551	genus	0	4	0	0.0
Erwinia amylovora	552	species	3837974	15	0	0.0
Pantoea ananatis	553	species	4838982	346	5	2.22561e-06
Pectobacterium carotovorum	554	species	4852842	14	8	5.61709e-51
Escherichia	561	genus	0	1089	0	0.0
Escherichia coli	562	species	8927329	1459270	1171145	0.806305
Shimwellia blattae	563	species	4158725	83	3	8.21009e-48
Escherichia fergusonii	564	species	4643861	41741	787	0.000208756
Hafnia alvei	569	species	4712721	20	0	1.7725e-50
Klebsiella	570	genus	0	185	0	0.0
Klebsiella oxytoca	571	species	10395483	6316	764	0.000112861
Klebsiella pneumoniae	573	species	10764443	20554	145	4.86909e-05
Morganella morganii	582	species	3799539	67	1	0.0
Proteus	583	genus	0	12	0	0.0
